,nvotes,r,t
0,255.0,-162.98404212464277,-1.0681415022205296
1,244.0,264.0420652040068,-0.005235987755982885
2,240.0,-161.98398098335792,-1.0629055144645467
3,234.0,212.0388858571922,-0.020943951023931984
4,225.0,263.04200406272184,0.0
5,223.0,244.04084237830887,-0.020943951023931984
6,223.0,262.041942921437,-0.005235987755982885
7,216.0,265.04212634529165,0.0
8,214.0,117.03307743512732,1.0210176124166828
9,211.0,209.03870243333756,-0.020943951023931984
10,206.0,-156.9836752769334,-1.0681415022205296
11,205.0,387.04958558204873,-0.16231562043547276
12,202.0,-157.9837364182183,-1.0733774899765125
13,198.0,114.03289401127267,1.0210176124166828
14,193.0,211.03882471590737,-0.02617993877991487
15,192.0,-164.98416440721257,-1.0733774899765125
16,192.0,242.04072009573918,-0.02617993877991487
17,188.0,117.03307743512732,1.0262536001726659
18,186.0,380.04915759305436,-0.16755160819145565
19,185.0,207.03858015076776,-0.02617993877991487
20,183.0,236.04035324802976,-0.020943951023931984
21,182.0,75.03050950116187,-0.5393067388662478
22,180.0,238.04047553059956,-0.015707963267948877
23,180.0,382.04927987562417,-0.15707963267948966
24,179.0,114.03289401127267,1.0262536001726659
25,179.0,237.0404143893146,-0.020943951023931984
