,nvotes,r,t
0,320.0,264.0420652040068,-0.005235987755982885
1,299.0,262.041942921437,-0.005235987755982885
2,258.0,30.027758143341714,1.565560339038914
3,256.0,263.04200406272184,0.0
4,255.0,-162.98404212464277,-1.0681415022205296
5,247.0,265.04212634529165,0.0
6,240.0,-161.98398098335792,-1.0629055144645467
7,238.0,40.028369556190626,1.565560339038914
8,234.0,212.0388858571922,-0.020943951023931984
9,233.0,29.02769700205681,1.565560339038914
10,231.0,34.02800270848127,1.565560339038914
11,230.0,33.027941567196365,1.565560339038914
12,228.0,26.027513578202104,1.565560339038914
13,226.0,47.02879754518483,1.565560339038914
